REQUIREMENT_DESIGNATION,COURSE,TITLE,UNITS_MINIMUM,UNITS_MAXIMUM,RQMNT_DESIGNTN,LS_ESSENTIAL_SKILL,FIRST_TERM,LAST_TERM,CRSE_ID,FIRST_TERM_CODE,LAST_TERM_CODE
Social and Political Worlds,ANT 350,ANCIENT CIVILIZATIONS,3,3,SPW,,Fall 2004,Summer 2005,000323,1047,1054
Social and Political Worlds,ANT 350,EMERGENCE OF CIV,3,3,SPW,,Fall 2002,Summer 2004,000323,1027,1044
Social and Political Worlds,ANT 351,SOUTHWESTERN ARCHAEOLOGY,3,3,SPWE,Critical Thinking,Fall 2012,,000325,1127,
Social and Political Worlds,ANT 351,SOUTHWESTERN ARCHAEOLOGY,3,3,SPWE,,Fall 2005,Summer 2012,000325,1057,1124
Social and Political Worlds,ANT 351,SOUTHWESTERN ARCHAEOLOGY,3,3,SPW,,Spring 2005,Summer 2005,000325,1051,1054
Social and Political Worlds,ANT 351,SOUTHWESTERN ARCH,3,3,SPW,,Fall 1999,Winter 2004,000325,0997,1048
Social and Political Worlds,ANT 351H,SW ARCHAEOLOGY - HONORS,3,3,SPWE,Critical Thinking,Spring 2013,,011045,1131,
Social and Political Worlds,ANT 370,HUMAN ECOLOGY,3,3,SPW,Scientific Inquiry,Fall 2012,,000332,1127,
Social and Political Worlds,ANT 370,HUMAN ECOLOGY,3,3,SPW,,Fall 1999,Summer 2012,000332,0997,1124
Social and Political Worlds,ANT 390,CULTURAL SIMULATION,3,4,SPW,,Fall 2007,Winter 2008,000339,1077,1088
Social and Political Worlds,ANT 390,CULTURL SIMULATN: MARS MISSION,4,4,SPW,,Spring 2005,Summer 2007,000339,1051,1074
Social and Political Worlds,ANT 390,CULTURAL SIMULATION,4,4,SPW,,Fall 2002,Winter 2004,000339,1027,1048
Social and Political Worlds,ANT 390,CULTURAL SIMULATION,0,4,SPW,,Fall 1999,Sumr 10 Wk 2002,000339,0997,1026
Social and Political Worlds,ANT 390H,CULTURAL SIMULATION,3,4,SPW,,Fall 2007,Winter 2008,000340,1077,1088
Social and Political Worlds,ANT 390H,CULTURL SIMULATN: MARS MISSION,4,4,SPW,,Spring 2005,Summer 2007,000340,1051,1074
Social and Political Worlds,ANT 390H,CULTURAL SIMULATION,4,4,SPW,,Fall 2002,Winter 2004,000340,1027,1048
Social and Political Worlds,ANT 390H,CULTURAL SIMULATION,0,4,SPW,,Spring 2002,Sumr 10 Wk 2002,000340,1021,1026
Social and Political Worlds,CCE 220,COMMUNITY LDRSHP & PEER MENTOR,3,3,SPW,Oral Communication,Fall 2014,,011396,1147,
Social and Political Worlds,CCJ 101,INTRO TO CRIME AND JUSTICE,3,3,SPW,Critical Thinking,Fall 2012,,001440,1127,
Social and Political Worlds,CCJ 101,INTRO TO CRIME AND JUSTICE,3,3,SPW,,Fall 2008,Summer 2012,001440,1087,1124
Social and Political Worlds,CCJ 250,CRIMINOLOGY,3,3,SPW,Critical Thinking,Fall 2012,,001450,1127,
Social and Political Worlds,CCJ 250,CRIMINOLOGY,3,3,SPW,,Fall 2008,Summer 2012,001450,1087,1124
Social and Political Worlds,CCJ 325,DRUG ISSUES AND THE LAW,3,3,SPW,Critical Thinking,Fall 2012,,001461,1127,
Social and Political Worlds,CCJ 325,DRUG ISSUES AND THE LAW,3,3,SPW,,Fall 2008,Summer 2012,001461,1087,1124
Social and Political Worlds,CCJ 340,WHITE COLLAR & CORPORATE CRIME,3,3,SPW,Critical Thinking,Fall 2012,,001466,1127,
Social and Political Worlds,CCJ 340,WHITE COLLAR & CORPORATE CRIME,3,3,SPW,,Fall 2008,Summer 2012,001466,1087,1124
Social and Political Worlds,CCJ 360,"WOMEN, CRIME, AND JUSTICE",3,3,SPW,Critical Thinking,Fall 2012,,001474,1127,
Social and Political Worlds,CCJ 360,"WOMEN, CRIME, AND JUSTICE",3,3,SPW,,Fall 2008,Summer 2012,001474,1087,1124
Social and Political Worlds,CCJ 360H,"WOMEN, CRIME & JUSTICE-HONORS",3,3,SPW,,Spring 2010,,010429,1101,
Social and Political Worlds,CCJ 380,LAW IN AMERICA,3,3,SPW,Critical Thinking,Fall 2012,,001479,1127,
Social and Political Worlds,CCJ 380,LAW IN AMERICA,3,3,SPW,,Fall 2008,Summer 2012,001479,1087,1124
Social and Political Worlds,CCJ 385,SECURITY IN A GLOBALIZED WORLD,3,3,SPW,Critical Thinking,Fall 2012,,010251,1127,
Social and Political Worlds,CCJ 385,SECURITY IN A GLOBALIZED WORLD,3,3,SPW,,Fall 2008,Summer 2012,010251,1087,1124
Social and Political Worlds,CCJ 395,BORDERS IMMIGRATION HUMAN RTS,3,3,SPW,Effective Writing,Fall 2012,,010252,1127,
Social and Political Worlds,CCJ 395,BORDERS IMMIGRATION HUMAN RTS,3,3,SPW,,Fall 2008,Summer 2012,010252,1087,1124
Social and Political Worlds,CJ 101,INTRO TO CRIMINAL JUSTICE,3,3,SPW,,Spring 2005,Summer 2008,001440,1051,1084
Social and Political Worlds,CJ 101,INTRO CRIM JUSTICE,3,3,SPW,,Fall 1999,Winter 2004,001440,0997,1048
Social and Political Worlds,CJ 250,CRIMINOLOGY,3,3,SPW,,Fall 1999,Summer 2008,001450,0997,1084
Social and Political Worlds,CJ 325,DRUG ISSUES AND THE LAW,3,3,SPW,,Spring 2005,Summer 2008,001461,1051,1084
Social and Political Worlds,CJ 325,DRUG ISSUES&THE LAW,3,3,SPW,,Fall 1999,Winter 2004,001461,0997,1048
Social and Political Worlds,CJ 340,WHITE COLLAR & CORPORATE CRIME,3,3,SPW,,Spring 2005,Summer 2008,001466,1051,1084
Social and Political Worlds,CJ 340,WHITE COLLAR&CORP CM,3,3,SPW,,Fall 1999,Winter 2004,001466,0997,1048
Social and Political Worlds,CJ 360,"WOMEN, CRIME, AND JUSTICE",3,3,SPW,,Spring 2005,Summer 2008,001474,1051,1084
Social and Political Worlds,CJ 360,"WOMEN,CRIME&JUSTICE",3,3,SPW,,Fall 1999,Winter 2004,001474,0997,1048
Social and Political Worlds,CJ 380,LAW IN AMERICA,3,3,SPW,,Fall 1999,Summer 2008,001479,0997,1084
Social and Political Worlds,COM 102,MASS MEDIA AND SOCIETY,3,3,SPW,Critical Thinking,Fall 2012,Summer 2013,004957,1127,1134
Social and Political Worlds,COM 102,MASS MEDIA AND SOCIETY,3,3,SPW,,Summer 2010,Summer 2012,004957,1104,1124
Social and Political Worlds,COM 102H,MASS MEDIA AND SOCIETY,3,3,SPW,,Summer 2010,Summer 2013,010015,1104,1134
Social and Political Worlds,COM 111,FUND OF PUB SPEAK,3,3,SPW,,Fall 1999,Spring 2002,001607,0997,1021
Social and Political Worlds,COM 150,ENVIRONMENTAL COMMUNICATION,3,3,SPW,Effective Writing,Fall 2012,,001610,1127,
Social and Political Worlds,COM 150,ENVIRONMENTAL COMMUNICATION,3,3,SPW,,Spring 2005,Summer 2012,001610,1051,1124
Social and Political Worlds,COM 150,ENVIRONMENTAL COMMUN,3,3,SPW,,Fall 1999,Winter 2004,001610,0997,1048
Social and Political Worlds,COM 212,MASS MEDIA AND SOCIETY,3,3,SPW,Critical Thinking,Fall 2013,,004957,1137,
Social and Political Worlds,COM 212H,MASS MEDIA AND SOCIETY,3,3,SPW,,Fall 2013,Summer 2014,010015,1137,1144
Social and Political Worlds,COMU 302,STEREOTYPES & THE MEDIA,3,3,SPWE,Critical Thinking,Spring 2014,,011030,1141,
Social and Political Worlds,COMU 302,STEREOTYPES & THE MEDIA,3,3,SPW,Critical Thinking,Spring 2013,Winter 2013,011030,1131,1138
Social and Political Worlds,COMY 131,FUND OF SPEECH COMMUNICATION,3,3,SPW,,Fall 2010,,010584,1107,
Social and Political Worlds,CST 111,FDMTLS OF PUBLIC SPEAKING,3,3,SPW,Oral Communication,Fall 2012,,007567,1127,
Social and Political Worlds,CST 111,FDMTLS OF PUBLIC SPEAKING,3,3,SPW,,Fall 2011,Summer 2012,007567,1117,1124
Social and Political Worlds,CST 151,INTERPERSONAL COMMUNICATION,3,3,SPW,Oral Communication,Fall 2012,,010468,1127,
Social and Political Worlds,CST 151,INTERPERSONAL COMMUNICATION,3,3,SPW,,Fall 2011,Summer 2012,010468,1117,1124
Social and Political Worlds,CST 318,ORAL ARGUMENTATION IN LAW,3,3,SPW,Oral Communication,Fall 2012,,007609,1127,
Social and Political Worlds,CST 318,ORAL ARGUMENTATION IN LAW,3,3,SPW,,Fall 2011,Summer 2012,007609,1117,1124
Social and Political Worlds,CST 365,COMM CONTEMP AFFAIRS,3,3,SPW,Effective Writing,Fall 2012,,007645,1127,
Social and Political Worlds,CST 365,COMM CONTEMP AFFAIRS,3,3,SPW,,Fall 2011,Summer 2012,007645,1117,1124
Social and Political Worlds,CST 370,"RHETORIC, NATURE & ENVIRONMENT",3,3,SPW,Effective Writing,Fall 2012,,010469,1127,
Social and Political Worlds,CST 370,"RHETORIC, NATURE & ENVIRONMENT",3,3,SPW,,Fall 2011,Summer 2012,010469,1117,1124
Social and Political Worlds,CSTU 366,COMM & SOCIAL MOVEMENTS,3,3,SPW,Effective Writing,Spring 2013,,011033,1131,
Social and Political Worlds,DIS 201,INTRODUCTION TO DISABILITY,3,3,SPW,Effective Writing,Fall 2012,,010345,1127,
Social and Political Worlds,DIS 201,INTRODUCTION TO DISABILITY,3,3,SPW,,Fall 2010,Summer 2012,010345,1107,1124
Social and Political Worlds,DIS 303,PERSPECTIVES ON DISABILITIES,3,3,SPW,Effective Writing,Fall 2012,,010229,1127,
Social and Political Worlds,DIS 303,PERSPECTIVES ON DISABILITIES,3,3,SPW,,Fall 2008,Summer 2012,010229,1087,1124
Social and Political Worlds,DIS 304,INTRODUCTION UNIVERSAL DESIGN,3,3,SPW,Critical Thinking,Fall 2012,,010455,1127,
Social and Political Worlds,DIS 304,INTRODUCTION UNIVERSAL DESIGN,3,3,SPW,,Fall 2010,Summer 2012,010455,1107,1124
Social and Political Worlds,DIS 335,ETHICS AND DISABILITY,3,3,SPW,Critical Thinking,Fall 2014,,011572,1147,
Social and Political Worlds,ECO 280,INTRODUCTION TO ECONOMICS,3,3,SPW,,Fall 2013,,010905,1137,
Social and Political Worlds,ECO 280,INTRODUCTION TO ECONOMICS,3,3,SPW,Critical Thinking,Fall 2012,Summer 2013,010905,1127,1134
Social and Political Worlds,ECO 284,PRINCIPLES OF ECONOMICS: MICRO,3,3,SPW,Critical Thinking,Fall 2012,,002201,1127,
Social and Political Worlds,ECO 284,PRINCIPLES OF ECONOMICS: MICRO,3,3,SPW,,Spring 2005,Summer 2012,002201,1051,1124
Social and Political Worlds,ECO 284,PRIN OF ECON-MICRO,3,3,SPW,,Fall 1999,Winter 2004,002201,0997,1048
Social and Political Worlds,ECO 284H,PRIN OF ECON: MICRO-HONORS,3,3,SPW,Critical Thinking,Fall 2012,,002202,1127,
Social and Political Worlds,ECO 284H,PRIN OF ECON: MICRO-HONORS,3,3,SPW,,Spring 2005,Summer 2012,002202,1051,1124
Social and Political Worlds,ECO 284H,PRIN OF ECON-MICRO,3,3,SPW,,Spring 2002,Winter 2004,002202,1021,1048
Social and Political Worlds,ECO 285,PRINCIPLES OF ECONOMICS: MACRO,3,3,SPW,Critical Thinking,Fall 2012,,002203,1127,
Social and Political Worlds,ECO 285,PRINCIPLES OF ECONOMICS: MACRO,3,3,SPW,,Spring 2005,Summer 2012,002203,1051,1124
Social and Political Worlds,ECO 285,PRIN OF ECON-MACRO,3,3,SPW,,Fall 1999,Winter 2004,002203,0997,1048
Social and Political Worlds,EDF 301,SCHOOL & SOCIETY,3,3,SPW,,Fall 1999,Fall 2003,002241,0997,1037
Social and Political Worlds,EDF 301W,SCHOOL AND SOCIETY,3,3,SPW,,Spring 2005,Summer 2010,002242,1051,1104
Social and Political Worlds,EDF 301W,SCHOOL & SOCIETY,3,3,SPW,,Spring 2001,Winter 2004,002242,1011,1048
Social and Political Worlds,ES 215,RACE AND ETHNIC RELATIONS,3,3,SPWE,Critical Thinking,Fall 2012,,003046,1127,
Social and Political Worlds,ES 215,RACE AND ETHNIC RELATIONS,3,3,SPWE,,Fall 2005,Summer 2012,003046,1057,1124
Social and Political Worlds,ES 215,RACE AND ETHNIC RELATIONS,3,3,SPW,,Spring 2005,Summer 2005,003046,1051,1054
Social and Political Worlds,ES 215,RACE & ETHNIC RELAT,3,3,SPW,,Fall 2000,Winter 2004,003046,1007,1048
Social and Political Worlds,ES 300,GLOBAL RACE & ETHNIC RELATIONS,3,3,SPWG,Critical Thinking,Fall 2012,,009916,1127,
Social and Political Worlds,ES 300,GLOBAL RACE & ETHNIC RELATIONS,3,3,SPWG,,Fall 2006,Summer 2012,009916,1067,1124
Social and Political Worlds,ES 378,ASIAN AMERICAN HISTORY,3,3,SPWE,Critical Thinking,Fall 2012,,010382,1127,
Social and Political Worlds,ES 378,ASIAN AMERICAN HISTORY,3,3,SPWE,,Fall 2010,Summer 2012,010382,1107,1124
Social and Political Worlds,ESE 304,INTRODUCTION UNIVERSAL DESIGN,3,3,SPW,Effective Writing,Fall 2012,,010643,1127,
Social and Political Worlds,ESE 304,INTRODUCTION UNIVERSAL DESIGN,3,3,SPW,,Fall 2011,Summer 2012,010643,1117,1124
Social and Political Worlds,FOR 222,ENVIRONMENTAL CONSERVATION,3,3,SPW,Critical Thinking,Fall 2012,,003338,1127,
Social and Political Worlds,FOR 222,ENVIRONMENTAL CONSERVATION,3,3,SPW,,Fall 2005,Summer 2012,003338,1057,1124
Social and Political Worlds,FOR 222,ENV CONSERVATION,3,3,SPW,,Fall 2001,Summer 2005,003338,1017,1054
Social and Political Worlds,FOR 222,ENV CONS,3,3,SPW,,Spring 2001,Sumr 10 Wk 2001,003338,1011,1016
Social and Political Worlds,FOR 222,ENVIRONMENTAL CONSER,3,3,SPW,,Fall 2000,Fall 2000,003338,1007,1007
Social and Political Worlds,FOR 230,MULTICULTL PRSPCTS NAT RES MGT,3,3,SPWE,Effective Writing,Fall 2012,,003339,1127,
Social and Political Worlds,FOR 230,MULTICULTL PRSPCTS NAT RES MGT,3,3,SPWE,,Fall 2005,Summer 2012,003339,1057,1124
Social and Political Worlds,FOR 230,MUL PRSPCTVS ENV MGT,3,3,SPW,,Fall 2000,Summer 2005,003339,1007,1054
Social and Political Worlds,FOR 230,MULTI PSPCTIVES ENVMNTL MNGMT,3,3,SPW,,Fall 1999,Sumr 10 Wk 2000,003339,0997,1006
Social and Political Worlds,FOR 282,ECOLOGICAL RESTORATN PRNCPLES,3,3,SPW,,Fall 2005,Spring 2008,003374,1057,1081
Social and Political Worlds,FOR 282H,ECOLOGICAL RESTRTN PRIN-HONORS,3,3,SPW,,Spring 2006,Spring 2008,003375,1061,1081
Social and Political Worlds,FOR 380,ECOLOGICAL RESTORATN PRNCPLES,3,3,SPW,,Spring 2005,Summer 2005,003374,1051,1054
Social and Political Worlds,FOR 380,ECOL REST PRIN,3,3,SPW,,Fall 2004,Winter 2004,003374,1047,1048
Social and Political Worlds,FOR 380H,ECOLOGICAL RESTRTN PRIN-HONORS,3,3,SPW,,Fall 2004,Winter 2005,003375,1047,1058
Social and Political Worlds,FS 141,SPW FIRST YEAR SEMINAR,3,3,SPW,Any Skill,Fall 2012,Summer 2014,010127,1127,1144
Social and Political Worlds,FS 141,SPW FIRST YEAR SEMINAR,3,3,SPW,,Fall 2007,Summer 2012,010127,1077,1124
Social and Political Worlds,FS 141H,SPW 1ST YEAR SEMINAR - HONORS,3,3,SPW,Any Skill,Fall 2013,Summer 2014,010289,1137,1144
Social and Political Worlds,FS 141H,SPW FIRST YEAR SEMINAR,3,3,SPW,Any Skill,Fall 2012,Summer 2013,010289,1127,1134
Social and Political Worlds,FS 141H,SPW FIRST YEAR SEMINAR,3,3,SPW,,Fall 2008,Summer 2012,010289,1087,1124
Social and Political Worlds,FYS 141,SPW FIRST YEAR SEMINAR,3,3,SPW,Any Skill,Fall 2014,,010127,1147,
Social and Political Worlds,FYS 141H,SPW 1ST YEAR SEMINAR - HONORS,3,3,SPW,Any Skill,Fall 2014,,010289,1147,
Social and Political Worlds,GGR 240,WORLD GEOGRAPHY WEST,3,3,SPW,,Summer I 2002,Summer 2011,003613,1023,1114
Social and Political Worlds,GGR 240,WORLD GEOGRAPHY I,3,3,SPW,,Fall 1999,Spring 2002,003613,0997,1021
Social and Political Worlds,GGR 241,WORLD GEOGRAPHY EAST,3,3,SPWG,,Spring 2007,Summer 2011,003614,1071,1114
Social and Political Worlds,GGR 241,WORLD GEOGRAPHY EAST,3,3,SPW,,Fall 2002,Winter 2006,003614,1027,1068
Social and Political Worlds,GGR 241,WORLD GEOGRAPHY II,3,3,SPW,,Fall 1999,Sumr 10 Wk 2002,003614,0997,1026
Social and Political Worlds,GGR 241H,WORLD GEOGRAPHY EAST-HONORS,3,3,SPWG,,Fall 2004,Summer 2011,003615,1047,1114
Social and Political Worlds,GGR 241H,WORLD GEOGRAPHY EAST-HONORS,3,3,SPW,,Spring 2003,Summer 2004,003615,1031,1044
Social and Political Worlds,GGR 346,UNITED STATES GEOGRAPHY,3,3,SPW,,Fall 2005,Summer 2011,003638,1057,1114
Social and Political Worlds,GGR 346,UNITED STATES,3,3,SPW,,Fall 1999,Summer 2005,003638,0997,1054
Social and Political Worlds,GGR 346H,UNITED STATES GEOGRAPHY-HONORS,3,3,SPW,,Fall 2005,Summer 2011,009389,1057,1114
Social and Political Worlds,GGR 346H,UNITED STATES-HONORS,3,3,SPW,,Fall 2003,Summer 2005,009389,1037,1054
Social and Political Worlds,GGR 348,GGR AREA STUDIES    CULT LAND,3,3,SPW,,Fall 2002,Fall 2002,003641,1027,1027
Social and Political Worlds,GGR 348,GGR AREA STUDIES,3,3,SPW,,Fall 2001,Summer 2005,003641,1017,1054
Social and Political Worlds,GGR 348,REG GEOGRAPHY SPAIN,3,3,SPW,,Spring 2001,Sumr 10 Wk 2001,003641,1011,1016
Social and Political Worlds,GGR 348,GEOGRAPHY OF SPAIN,3,3,SPW,,Fall 2000,Fall 2000,003641,1007,1007
Social and Political Worlds,GGR 348,GEOGRAPHY AREA STUDIES,3,3,SPW,,Fall 1999,Summer 2011,003641,0997,1114
Social and Political Worlds,GGR 376,REG GEOG TOURISM RECREATION,3,3,SPW,,Fall 2004,Summer 2011,003652,1047,1114
Social and Political Worlds,GGR 376,REG GEOG TOURISM REC,3,3,SPW,,Fall 2000,Summer 2004,003652,1007,1044
Social and Political Worlds,GSP 201,"COMMUNITIES, PLANNING & CHANGE",3,3,SPW,Critical Thinking,Fall 2012,,006750,1127,
Social and Political Worlds,GSP 201,"COMMUNITIES, PLANNING & CHANGE",3,3,SPW,,Fall 2011,Summer 2012,006750,1117,1124
Social and Political Worlds,GSP 220,UNITED STATES GEOGRAPHY,3,3,SPW,Critical Thinking,Fall 2012,,003638,1127,
Social and Political Worlds,GSP 220,UNITED STATES GEOGRAPHY,3,3,SPW,,Fall 2011,Summer 2012,003638,1117,1124
Social and Political Worlds,GSP 240,WORLD GEOGRAPHY WEST,3,3,SPW,Critical Thinking,Fall 2012,,003613,1127,
Social and Political Worlds,GSP 240,WORLD GEOGRAPHY WEST,3,3,SPW,,Fall 2011,Summer 2012,003613,1117,1124
Social and Political Worlds,GSP 241,WORLD GEOGRAPHY EAST,3,3,SPWG,Critical Thinking,Fall 2012,,003614,1127,
Social and Political Worlds,GSP 241,WORLD GEOGRAPHY EAST,3,3,SPWG,,Fall 2011,Summer 2012,003614,1117,1124
Social and Political Worlds,GSP 276,PLAN SUSTAINABLE TOURISM,3,3,SPW,Critical Thinking,Fall 2012,,006769,1127,
Social and Political Worlds,GSP 276,PLAN SUSTAINABLE TOURISM,3,3,SPW,,Fall 2011,Summer 2012,006769,1117,1124
Social and Political Worlds,GSP 348,GEOGRAPHY AREA STUDIES,3,3,SPW,Critical Thinking,Fall 2012,,003641,1127,
Social and Political Worlds,GSP 348,GEOGRAPHY AREA STUDIES,3,3,SPW,,Fall 2011,Summer 2012,003641,1117,1124
Social and Political Worlds,GSP 376,REG GEOG TOURISM RECREATION,3,3,SPW,Critical Thinking,Fall 2012,,003652,1127,
Social and Political Worlds,GSP 376,REG GEOG TOURISM RECREATION,3,3,SPW,,Fall 2011,Summer 2012,003652,1117,1124
Social and Political Worlds,HIS 100,WORLD HISTORY I,3,3,SPW,Critical Thinking,Fall 2012,,004073,1127,
Social and Political Worlds,HIS 100,WORLD HISTORY I,3,3,SPW,,Spring 2010,Summer 2012,004073,1101,1124
Social and Political Worlds,HIS 100H,WORLD HISTORY I-HONORS,3,3,SPW,Critical Thinking,Fall 2012,,009391,1127,
Social and Political Worlds,HIS 100H,WORLD HISTORY I-HONORS,3,3,SPW,,Spring 2010,Summer 2012,009391,1101,1124
Social and Political Worlds,HIS 240,THE DEV'T OF EUROPE TO 1650,3,3,SPW,Critical Thinking,Fall 2012,,004087,1127,
Social and Political Worlds,HIS 240,THE DEV'T OF EUROPE TO 1650,3,3,SPW,,Fall 2009,Summer 2012,004087,1097,1124
Social and Political Worlds,HIS 240,WESTERN CIVILIZATION I,3,3,SPW,,Fall 2005,Summer 2009,004087,1057,1094
Social and Political Worlds,HIS 240,WEST CIV I,3,3,SPW,,Fall 1999,Summer 2005,004087,0997,1054
Social and Political Worlds,HIS 240H,DEV'T OF EUROPE TO 1650-HONORS,3,3,SPW,Critical Thinking,Fall 2012,,009498,1127,
Social and Political Worlds,HIS 240H,DEV'T OF EUROPE TO 1650-HONORS,3,3,SPW,,Fall 2009,Summer 2012,009498,1097,1124
Social and Political Worlds,HIS 240H,WESTERN CIVILIZATION I-HONORS,3,3,SPW,,Fall 2005,Summer 2009,009498,1057,1094
Social and Political Worlds,HIS 240H,WEST CIV I - HONORS,3,3,SPW,,Winter 2003,Summer 2005,009498,1038,1054
Social and Political Worlds,HIS 241,THE DEV'T OF EUROPE SINCE 1650,3,3,SPW,Critical Thinking,Fall 2012,,004088,1127,
Social and Political Worlds,HIS 241,THE DEV'T OF EUROPE SINCE 1650,3,3,SPW,,Fall 2009,Summer 2012,004088,1097,1124
Social and Political Worlds,HIS 241,WESTERN CIVILIZATION II,3,3,SPW,,Fall 2005,Summer 2009,004088,1057,1094
Social and Political Worlds,HIS 241,WESTERN CIV II,3,3,SPW,,Fall 1999,Summer 2005,004088,0997,1054
Social and Political Worlds,HIS 241H,DEV'T OF EUROPE SINCE 1650 - H,3,3,SPW,Critical Thinking,Fall 2012,,010291,1127,
Social and Political Worlds,HIS 241H,DEV'T OF EUROPE SINCE 1650 - H,3,3,SPW,,Fall 2009,Summer 2012,010291,1097,1124
Social and Political Worlds,HIS 241H,WESTERN CIVILIZATION II - HONO,3,3,SPW,,Fall 2008,Summer 2009,010291,1087,1094
Social and Political Worlds,HIS 251,MAKING OF MODERN ASIA,3,3,SPWG,Critical Thinking,Fall 2012,,004091,1127,
Social and Political Worlds,HIS 251,MAKING OF MODERN ASIA,3,3,SPWG,,Fall 2005,Summer 2012,004091,1057,1124
Social and Political Worlds,HIS 251,MAKING OF MODERN ASIA,3,3,SPW,,Spring 2005,Summer 2005,004091,1051,1054
Social and Political Worlds,HIS 251,MAKING OF MDRN ASIA,3,3,SPW,,Spring 2000,Winter 2004,004091,1001,1048
Social and Political Worlds,HIS 251,ASIAN CIVILIZATIONII,3,3,SPW,,Fall 1999,Fall 1999,004091,0997,0997
Social and Political Worlds,HIS 251H,MAKING MODERN ASIA - HONORS,3,3,SPWG,Critical Thinking,Fall 2012,,004092,1127,
Social and Political Worlds,HIS 251H,MAKING MODERN ASIA - HONORS,3,3,SPWG,,Fall 2005,Summer 2012,004092,1057,1124
Social and Political Worlds,HIS 251H,MAKING MODERN ASIA - HONORS,3,3,SPW,,Spring 2003,Summer 2005,004092,1031,1054
Social and Political Worlds,HIS 270,HIST OF THE ANCIENT NEAR EAST,3,3,SPW,,Spring 2006,Spring 2012,004093,1061,1121
Social and Political Worlds,HIS 270,ANCIENT NEAR-EASTRN CIVILIZATN,3,3,SPW,,Fall 2005,Winter 2005,004093,1057,1058
Social and Political Worlds,HIS 270,ANC NEAR-EAST CIVIL,3,3,SPW,,Fall 1999,Summer 2005,004093,0997,1054
Social and Political Worlds,HIS 291,UNITED STATES HISTORY TO 1865,3,3,SPW,Effective Writing,Fall 2012,,004098,1127,
Social and Political Worlds,HIS 291,UNITED STATES HISTORY TO 1865,3,3,SPW,,Fall 2005,Summer 2012,004098,1057,1124
Social and Political Worlds,HIS 291,U.S. HISTORY TO 1865,3,3,SPW,,Fall 1999,Summer 2005,004098,0997,1054
Social and Political Worlds,HIS 292,UNITED STATES HIST SINCE 1865,3,3,SPW,Effective Writing,Fall 2012,,004099,1127,
Social and Political Worlds,HIS 292,UNITED STATES HIST SINCE 1865,3,3,SPW,,Fall 2005,Summer 2012,004099,1057,1124
Social and Political Worlds,HIS 292,U S HIST SINCE 1865,3,3,SPW,,Fall 1999,Summer 2005,004099,0997,1054
Social and Political Worlds,HIS 312,GANDHI'S INDIA,3,3,SPWG,Critical Thinking,Fall 2012,,004116,1127,
Social and Political Worlds,HIS 312,GANDHI'S INDIA,3,3,SPWG,,Fall 2005,Summer 2012,004116,1057,1124
Social and Political Worlds,HIS 312,GANDHI'S INDIA,3,3,SPW,,Fall 1999,Summer 2005,004116,0997,1054
Social and Political Worlds,HIS 312H,GANDHI'S INDIA - HONORS,3,3,SPWG,Critical Thinking,Fall 2012,,004117,1127,
Social and Political Worlds,HIS 312H,GANDHI'S INDIA - HONORS,3,3,SPWG,,Fall 2005,Summer 2012,004117,1057,1124
Social and Political Worlds,HIS 312H,GANDHI'S INDIA - HONORS,3,3,SPW,,Fall 2002,Summer 2005,004117,1027,1054
Social and Political Worlds,HIS 314,CONTEMPORARY INDIA,3,3,SPWG,Critical Thinking,Fall 2012,,004118,1127,
Social and Political Worlds,HIS 314,CONTEMPORARY INDIA,3,3,SPWG,,Fall 2005,Summer 2012,004118,1057,1124
Social and Political Worlds,HIS 314,CONTEMPORARY INDIA,3,3,SPW,,Fall 1999,Summer 2005,004118,0997,1054
Social and Political Worlds,HIS 325,MODERN CHINA,3,3,SPWG,Critical Thinking,Fall 2012,,004119,1127,
Social and Political Worlds,HIS 325,MODERN CHINA,3,3,SPWG,,Fall 2005,Summer 2012,004119,1057,1124
Social and Political Worlds,HIS 325,MODERN CHINA,3,3,SPW,,Fall 1999,Summer 2005,004119,0997,1054
Social and Political Worlds,HIS 325H,MODERN CHINA - HONORS,3,3,SPWG,Critical Thinking,Fall 2012,,010363,1127,
Social and Political Worlds,HIS 325H,MODERN CHINA - HONORS,3,3,SPWG,,Fall 2009,Summer 2012,010363,1097,1124
Social and Political Worlds,HIS 326,CHINA SINCE 1945,3,3,SPWG,,Summer 2010,Spring 2012,010386,1104,1121
Social and Political Worlds,HIS 332,MODERN JAPAN,3,3,SPWG,Critical Thinking,Fall 2012,,004121,1127,
Social and Political Worlds,HIS 332,MODERN JAPAN,3,3,SPWG,,Fall 2005,Summer 2012,004121,1057,1124
Social and Political Worlds,HIS 332,MODERN JAPAN,3,3,SPW,,Fall 1999,Summer 2005,004121,0997,1054
Social and Political Worlds,HIS 332H,MODERN JAPAN - HONORS,3,3,SPWG,,Spring 2013,,010976,1131,
Social and Political Worlds,HIS 332H,MODERN JAPAN - HONORS,3,3,SPWG,Critical Thinking,Fall 2012,Winter 2012,010976,1127,1128
Social and Political Worlds,HIS 334,ANCIENT WORLD: EGYPT,3,3,SPW,,Fall 2005,Spring 2012,004122,1057,1121
Social and Political Worlds,HIS 334,ANCIENT WORLD-EGYPT,3,3,SPW,,Fall 1999,Summer 2005,004122,0997,1054
Social and Political Worlds,HIS 335,ANCIENT WORLD:  GREECE,3,3,SPW,Effective Writing,Fall 2012,,004124,1127,
